track_id,genre_top,genres,genres_all
0,[],,
1,[21],[21],[21]
2,[21],[21],[21]
3,[21],[21],[21]
4,[10],[10],[10]
5,[],"[76, 103]","[17, 10, 76, 103]"
6,[],"[76, 103]","[17, 10, 76, 103]"
7,[],"[76, 103]","[17, 10, 76, 103]"
8,[],"[76, 103]","[17, 10, 76, 103]"
9,[],"[76, 103]","[17, 10, 76, 103]"
10,[21],[21],[21]
11,[12],"[45, 58]","[58, 12, 45]"
12,[12],"[45, 58]","[58, 12, 45]"
13,[38],"[1, 32]","[32, 1, 38]"
14,[38],"[1, 32]","[32, 1, 38]"
15,[17],[17],[17]
16,[17],[17],[17]
17,[17],[17],[17]
18,[17],[17],[17]
19,[4],[4],[4]
20,[4],[4],[4]
21,[4],[4],[4]
22,[4],[4],[4]
23,[38],[1],"[1, 38]"
24,[38],[1],"[1, 38]"
25,[38],[1],"[1, 38]"
26,[12],[25],"[25, 12]"
27,[12],[25],"[25, 12]"
28,[12],[26],"[26, 12]"
29,[12],[26],"[26, 12]"
30,[12],[26],"[26, 12]"
31,[38],[30],"[38, 30]"
32,[38],[30],"[38, 30]"
33,[38],[30],"[38, 30]"
34,[38],[30],"[38, 30]"
35,[38],[30],"[38, 30]"
36,[38],[30],"[38, 30]"
37,[38],[30],"[38, 30]"
38,[38],[30],"[38, 30]"
39,[38],[30],"[38, 30]"
40,[38],[30],"[38, 30]"
41,[38],[30],"[38, 30]"
42,[38],[30],"[38, 30]"
43,[38],[30],"[38, 30]"
44,[12],[25],"[25, 12]"
45,[12],[25],"[25, 12]"
46,[12],[25],"[25, 12]"
47,[12],[25],"[25, 12]"
48,[12],[25],"[25, 12]"
49,[12],[25],"[25, 12]"
50,[12],[25],"[25, 12]"
51,[12],[25],"[25, 12]"
52,[12],[25],"[25, 12]"
53,[12],[25],"[25, 12]"
54,[12],[25],"[25, 12]"
55,[12],[27],"[27, 12]"
56,[12],[27],"[27, 12]"
57,[12],[27],"[27, 12]"
58,[12],[27],"[27, 12]"
59,[],"[27, 76]","[10, 27, 12, 76]"
60,[17],[17],[17]
61,[17],[17],[17]
62,[17],[17],[17]
63,[17],[17],[17]
64,[17],[17],[17]
65,[17],[17],[17]
66,[17],[17],[17]
67,[17],[17],[17]
68,[17],[17],[17]
69,[17],[17],[17]
70,[17],[17],[17]
71,[17],[17],[17]
72,[17],[17],[17]
73,[17],[17],[17]
74,[17],[17],[17]
75,[17],[17],[17]
76,[17],[17],[17]
77,[17],[17],[17]
78,[17],[17],[17]
79,[17],[17],[17]
80,[17],[17],[17]
81,[17],[17],[17]
82,[17],[17],[17]
83,[17],[17],[17]
84,[17],[17],[17]
85,[10],[10],[10]
86,[12],[25],"[25, 12]"
87,[12],[25],"[25, 12]"
88,[],"[15, 92]","[2, 92, 15]"
89,[4],[4],[4]
90,[4],[4],[4]
91,[],"[12, 76]","[10, 12, 76]"
92,[12],[12],[12]
93,[],"[12, 76]","[10, 12, 76]"
94,[12],[12],[12]
95,[],"[12, 76]","[10, 12, 76]"
96,[],"[12, 76]","[10, 12, 76]"
97,[12],[12],[12]
98,[],"[12, 76]","[10, 12, 76]"
99,[],"[12, 76]","[10, 12, 76]"
100,[12],[12],[12]
101,[12],[31],"[12, 31]"
102,[12],[31],"[12, 31]"
103,[12],[31],"[12, 31]"
104,[38],[32],"[32, 38]"
105,[38],[32],"[32, 38]"
106,[38],[32],"[32, 38]"
107,[38],[32],"[32, 38]"
108,[38],[32],"[32, 38]"
109,[38],[32],"[32, 38]"
110,[38],[32],"[32, 38]"
111,[38],[32],"[32, 38]"
112,[38],[32],"[32, 38]"
113,[38],[32],"[32, 38]"
114,[38],[32],"[32, 38]"
115,[38],[32],"[32, 38]"
116,[38],[32],"[32, 38]"
117,[12],[89],"[89, 12, 25]"
118,[12],[89],"[89, 12, 25]"
119,[12],[89],"[89, 12, 25]"
120,[12],[89],"[89, 12, 25]"
121,[12],[89],"[89, 12, 25]"
122,[12],[89],"[89, 12, 25]"
123,[12],[89],"[89, 12, 25]"
124,[12],[89],"[89, 12, 25]"
125,[12],[89],"[89, 12, 25]"
126,[12],[89],"[89, 12, 25]"
127,[12],[89],"[89, 12, 25]"
128,[12],[89],"[89, 12, 25]"
129,[12],[89],"[89, 12, 25]"
130,[12],[89],"[89, 12, 25]"
131,[12],[89],"[89, 12, 25]"
132,[12],[89],"[89, 12, 25]"
133,[12],[89],"[89, 12, 25]"
134,[12],[89],"[89, 12, 25]"
135,[12],[89],"[89, 12, 25]"
136,[12],[89],"[89, 12, 25]"
137,[12],[89],"[89, 12, 25]"
138,[12],[89],"[89, 12, 25]"
139,[12],[89],"[89, 12, 25]"
140,[12],[89],"[89, 12, 25]"
141,[12],[89],"[89, 12, 25]"
